,source,target,weight
953,257,1067,3
954,1280,1072,10
955,1565,1557,2
956,1565,1742,1
957,1565,1581,5
958,1565,191,1
959,1822,1546,1
960,364,1191,2
961,589,912,1
962,1844,1546,3
963,340,1072,5
964,340,1581,7
965,1075,822,1
966,574,1744,2
967,574,1816,2
968,209,1072,76
969,1239,228,12
970,1239,419,10
971,1239,507,10
972,1239,1816,10
973,1402,257,1
974,158,507,1
975,578,822,2
976,1851,1331,1
977,1851,1742,4
978,551,774,1
979,551,203,2
980,1552,419,3
981,860,1581,2
982,630,1581,5
983,824,1387,1
984,824,1773,3
985,1254,1576,1
986,1254,1816,1
987,509,1742,16
988,528,394,2
989,528,419,5
990,528,799,4
991,1299,1072,3
992,637,1827,2
993,637,1624,1
994,637,918,3
995,637,1162,1
996,637,1708,2
997,637,1205,3
998,637,1468,1
999,637,784,2
1000,637,562,2
1001,637,1703,2
1002,637,1742,2
1003,428,1162,1
1004,428,1581,1
1005,523,1581,1
1006,1626,1778,1
1007,1626,1581,1
1008,611,611,8
1009,611,1388,1
1010,611,1057,16
1011,611,1105,1
1012,611,1653,1
1013,1241,228,1
1014,1596,912,1
1015,270,1191,8
1016,1569,1546,2
1017,1376,978,1
1018,1376,190,2
1019,1376,1703,2
1020,1376,1742,2
1021,1486,1581,1
1022,211,1072,1
1023,1386,451,1
1024,1386,1742,1
1025,74,1576,1
1026,1210,1072,10
1027,967,398,1
1028,1429,257,1
1029,1162,867,2
1030,1162,1827,32
1031,1162,1384,1
1032,1162,1624,13
1033,1162,288,2
1034,1162,1641,29
1035,1162,918,67
1036,1162,53,1
1037,1162,678,1
1038,1162,1662,3
1039,1162,143,1
1040,1162,389,2
1041,1162,1853,3
1042,1162,380,4
1043,1162,1463,3
1044,1162,1523,1
1045,1162,1411,1
1046,1162,23,2
1047,1162,1113,1
1048,1162,1727,1
1049,1162,1162,21
1050,1162,497,1
1051,1162,544,15
1052,1162,1149,3
1053,1162,304,2
1054,1162,1017,1
1055,1162,1469,6
1056,1162,539,1
1057,1162,546,1
1058,1162,1440,1
1059,1162,374,1
1060,1162,1518,1
1061,1162,573,3
1062,1162,1796,1
1063,1162,1677,1
1064,1162,1388,2
1065,1162,205,1
1066,1162,767,10
1067,1162,752,2
1068,1162,862,2
1069,1162,498,1
1070,1162,1708,13
1071,1162,323,68
1072,1162,843,1
1073,1162,1678,1
1074,1162,1090,2
1075,1162,764,12
1076,1162,476,1
1077,1162,1468,46
1078,1162,1506,1
1079,1162,156,1
1080,1162,174,1
1081,1162,1057,57
1082,1162,1105,1
1083,1162,1409,4
1084,1162,1713,2
1085,1162,1861,35
1086,1162,500,2
1087,1162,1265,7
1088,1162,190,20
1089,1162,783,10
1090,1162,1838,10
1091,1162,1211,3
1092,1162,87,2
1093,1162,475,11
1094,1162,419,4
1095,1162,1850,6
1096,1162,1766,45
1097,1162,1331,39
1098,1162,1172,1
1099,1162,40,1
1100,1162,612,1
1101,1162,389,2
1102,1162,1196,1
1103,1162,19,13
1104,1162,1703,37
1105,1162,381,3
1106,1162,144,3
1107,1162,966,1
1108,1162,1742,289
1109,1162,197,1
1110,1162,1224,10
1111,1162,1712,2
1112,1162,335,1
1113,1162,1182,6
1114,1162,319,2
1115,1162,996,1
1116,1162,1761,4
1117,1542,1542,1
1118,591,1546,13
1119,591,133,1
1120,1477,1273,13
1121,868,1072,1
1122,342,419,9
1123,342,1181,2
1124,1387,1668,3
1125,1387,1641,2
1126,1387,929,3
1127,1387,257,1
1128,1387,1433,1
1129,1387,1546,2
1130,1387,196,1
1131,1387,1483,1
1132,1387,258,1
1133,1387,649,2
1134,1387,1820,1
1135,1387,1144,1
1136,1387,829,1
1137,1387,1744,1
1138,1387,1510,1
1139,1387,419,12
1140,1387,1191,2
1141,1387,1636,1
1142,1387,1181,4
1143,1387,660,1
1144,1387,391,2
1145,1387,1816,3
1146,1387,1773,3
1147,1387,1857,1
1148,497,1827,1
1149,497,1641,1
1150,497,1601,1
1151,497,1162,1
1152,497,1708,2
1153,497,323,4
1154,497,764,2
1155,497,1468,1
1156,497,1562,1
1157,497,500,3
1158,497,190,5
1159,497,784,1
1160,497,1703,2
1161,497,1742,5
1162,1813,419,4
1163,1273,1546,6
1164,934,822,1
1165,1109,212,1
1166,1220,1742,1
1167,1515,1022,1
1168,1515,1871,1
1169,1515,1838,2
1170,1515,1331,2
1171,1515,1742,2
1172,426,257,1
1173,352,323,1
1174,352,1742,3
1175,909,1191,3
1176,1194,1742,2
1177,94,228,1
1178,550,1742,1
1179,43,1463,1
1180,43,23,1
1181,43,544,1
1182,43,1108,2
1183,43,862,1
1184,43,1057,26
1185,43,32,2
1186,43,1195,3
1187,43,1653,1
1188,975,257,3
1189,975,227,1
1190,975,1289,1
1191,232,660,2
1192,103,228,6
1193,1558,1742,2
1194,1334,1546,2
1195,544,1827,19
1196,544,1624,16
1197,544,1641,9
1198,544,918,42
1199,544,1662,20
1200,544,1746,15
1201,544,762,15
1202,544,1459,15
1203,544,380,6
1204,544,1463,3
1205,544,1343,2
1206,544,23,1
1207,544,257,15
1208,544,1565,1
1209,544,1122,4
1210,544,1162,46
1211,544,544,10
1212,544,1108,4
1213,544,146,15
1214,544,1640,20
1215,544,1388,1
1216,544,198,1
1217,544,1276,1
1218,544,1546,15
1219,544,1708,18
1220,544,620,4
1221,544,831,15
1222,544,937,15
1223,544,1321,15
1224,544,764,12
1225,544,1034,15
1226,544,1468,18
1227,544,156,15
1228,544,1057,162
1229,544,1409,4
1230,544,1713,2
1231,544,1855,1
1232,544,1861,7
1233,544,1510,15
1234,544,1265,18
1235,544,423,15
1236,544,538,4
1237,544,783,4
1238,544,1838,4
1239,544,1500,15
1240,544,475,19
1241,544,419,1
1242,544,1850,15
1243,544,1766,34
1244,544,1547,1
1245,544,1331,19
1246,544,445,15
1247,544,11,16
1248,544,19,4
1249,544,517,15
1250,544,1703,1
1251,544,403,15
1252,544,381,14
1253,544,112,4
1254,544,318,1
1255,544,1297,15
1256,544,1430,1
1257,544,1146,15
1258,544,515,15
1259,544,1742,115
1260,544,32,4
1261,544,113,15
1262,544,1224,15
1263,544,1355,5
1264,544,79,5
1265,544,533,15
1266,544,335,5
1267,544,1182,1
1268,544,203,7
1269,544,1761,5
1270,544,1869,15
1271,253,1546,1
1272,825,1273,5
1273,825,1334,7
1274,825,507,5
1275,825,1377,13
1276,825,1115,2
1277,1099,1742,1
1278,1445,1742,3
1279,1831,1546,1
1280,936,230,1
1281,936,1546,5
1282,936,72,2
1283,936,432,2
1284,936,1773,3
1285,1865,1742,1
1286,1353,1546,1
1287,1252,1392,1
1288,779,1273,1
1289,1178,375,2
1290,1178,1395,1
1291,1178,720,3
1292,1178,85,3
1293,1178,479,3
1294,1178,322,2
1295,1178,1839,3
1296,1178,1335,2
1297,1178,1829,1
1298,1178,337,1
1299,1178,1544,2
1300,1178,361,3
1301,1178,1415,1
1302,1178,1300,2
1303,1178,1051,1
1304,1178,303,1
1305,1178,1673,3
1306,1178,1480,1
1307,1178,959,2
1308,1178,1566,1
1309,1178,680,3
1310,1178,1856,3
1311,1178,818,3
1312,1178,1018,2
1313,1178,454,2
1314,1178,593,1
1315,1178,986,2
1316,1178,419,2
1317,1178,1888,2
1318,1178,880,2
1319,1178,473,3
1320,1178,947,1
1321,1178,1768,1
1322,1178,1068,3
1323,1178,179,2
1324,1178,1623,1
1325,1178,42,3
1326,1178,1782,1
1327,1504,1581,3
1328,1031,1816,14
1329,1042,1742,1
1330,1327,1546,1
1331,912,309,1
1332,912,1443,1
1333,912,1284,2
1334,912,105,3
1335,912,1434,3
1336,912,1596,1
1337,912,223,1
1338,912,142,2
1339,912,912,1
1340,912,1356,1
1341,912,537,2
1342,912,146,16
1343,912,283,1
1344,912,1736,3
1345,912,1498,6
1346,912,438,4
1347,912,1546,16
1348,912,836,1
1349,912,989,1
1350,912,644,5
1351,912,1306,4
1352,912,482,2
1353,912,369,2
1354,912,1484,2
1355,912,649,6
1356,912,1820,2
1357,912,1790,1
1358,912,302,1
1359,912,36,2
1360,912,200,1
1361,912,638,4
1362,912,1399,1
1363,912,493,3
1364,912,419,11
1365,912,799,147
1366,912,1787,3
1367,912,442,3
1368,912,588,2
1369,912,56,4
1370,912,1293,1
1371,912,115,5
1372,912,660,2
1373,912,16,10
1374,912,1726,13
1375,912,1773,7
1376,201,1546,1
1377,625,228,2
1378,1032,257,1
1379,1707,257,2
1380,1707,507,2
1381,433,1581,4
1382,1496,764,1
1383,1496,1742,1
1384,478,1546,1
1385,1403,1742,1
1386,1002,1546,1
1387,1358,1742,2
1388,1497,1581,1
1389,822,332,1
1390,822,1668,3
1391,822,676,3
1392,822,929,4
1393,822,706,2
1394,822,125,1
1395,822,1621,1
1396,822,1013,1
1397,822,346,2
1398,822,755,2
1399,822,257,2
1400,822,1835,1
1401,822,304,11
1402,822,146,2
1403,822,1428,1
1404,822,549,1
1405,822,1433,2
1406,822,1859,1
1407,822,404,1
1408,822,1546,16
1409,822,323,3
1410,822,196,3
1411,822,1483,4
1412,822,258,2
1413,822,649,7
1414,822,1820,1
1415,822,1144,2
1416,822,386,1
1417,822,1103,4
1418,822,638,6
1419,822,1744,5
1420,822,1510,2
1421,822,1500,3
1422,822,419,81
1423,822,1191,65
1424,822,799,15
1425,822,1789,1
1426,822,1636,4
1427,822,449,1
1428,822,1890,8
1429,822,878,4
1430,822,2,2
1431,822,1181,2
1432,822,660,11
1433,822,1412,1
1434,822,391,2
1435,822,1773,30
1436,822,1857,1
1437,1594,1072,2
1438,1594,228,1
1439,1594,1273,4
1440,1594,507,1
1441,1594,1581,9
1442,1537,419,2
1443,1544,1178,1
1444,1863,1072,1
1445,1356,912,2
1446,1564,475,1
1447,1564,1742,3
1448,1551,1641,4
1449,1551,379,4
1450,1551,1662,4
1451,1551,389,4
1452,1551,304,4
1453,1551,1469,4
1454,1551,1388,1
1455,1551,752,4
1456,1551,1546,3
1457,1551,282,4
1458,1551,1090,4
1459,1551,1468,4
1460,1551,156,1
1461,1551,239,4
1462,1551,730,4
1463,1551,190,4
1464,1551,783,4
1465,1551,431,4
1466,1551,1850,4
1467,1551,799,1
1468,1551,389,4
1469,1551,381,4
1470,1551,1643,1
1471,1551,1742,4
1472,1551,22,4
1473,1551,484,1
1474,304,1641,11
1475,304,379,2
1476,304,918,2
1477,304,1162,6
1478,304,822,2
1479,304,304,2
1480,304,1433,8
1481,304,1546,1
1482,304,323,1
1483,304,1483,1
